ID_CLIENTE,QTD_SOL_LAST_30D,DAYS_SINCE_LAST,N_UNIQUE_DATES,QTD_REGISTROS_CLIENTE,JA_TENTOU_CANCELAR_max,QTD_FINANCEIRO_mean,QTD_SUPORTE_TECNICO_mean,QTD_OUTROS_mean,QTD_ADMINISTRATIVO_mean,TAXA_CONTATO_DIA
135801,1,11,15,24,1,11,6,4,0,24
159738,1,16,15,23,1,2,7,2,8,23
48314,0,143,9,16,0,4,2,1,8,16
147725,0,261,12,19,1,3,7,2,6,19
149884,4,18,35,45,1,27,11,0,1,45
87233,0,126,8,14,1,9,1,2,0,14
120899,4,7,29,36,0,23,5,3,4,36
190959,0,312,4,5,0,1,0,3,1,5
119343,2,28,7,10,0,3,4,3,0,10
36905,2,25,17,19,1,16,2,0,0,19
110831,0,57,9,9,0,5,4,0,0,9
192648,0,77,3,3,0,3,0,0,0,3
192016,2,1,16,19,1,13,2,2,0,19
181721,0,51,5,5,1,1,0,2,1,5
90794,0,113,32,36,1,26,1,1,0,36
174488,0,92,28,52,1,15,13,3,8,52
32916,2,3,11,11,0,7,2,2,0,11
181942,3,7,49,59,1,41,10,2,2,59
107243,0,53,14,19,1,1,12,2,2,19
129438,0,367,5,8,0,0,3,2,2,8
189058,1,14,9,12,0,3,8,1,0,12
151691,0,126,30,34,0,33,1,0,0,34
175387,1,30,11,15,1,8,0,5,0,15
193616,0,238,1,1,0,0,0,1,0,1
193400,1,11,5,5,0,3,1,0,1,5
118851,1,27,21,24,1,6,12,2,1,24
177879,0,63,25,27,0,23,3,1,0,27
176463,0,238,7,7,0,7,0,0,0,7
196757,1,24,4,6,1,5,0,0,0,6
79082,0,63,51,79,1,34,25,9,6,79
186306,0,395,10,15,1,1,1,4,5,15
167162,0,73,23,25,0,19,5,1,0,25
147315,0,99,18,23,0,19,1,0,0,23
109683,0,165,15,19,1,2,11,1,3,19
177095,1,3,39,47,1,21,17,5,0,47
196638,2,9,8,9,0,5,1,2,1,9
122949,4,1,15,22,1,7,5,7,0,22
147299,0,106,14,16,1,8,2,2,0,16
136170,0,71,5,5,0,0,5,0,0,5
140950,0,34,28,53,0,43,4,1,5,53
116829,3,4,19,23,0,12,8,2,1,23
109243,0,94,7,9,1,4,4,0,0,9
186784,2,24,21,26,1,12,1,9,3,26
195883,0,163,1,1,1,0,0,0,0,1
112627,1,30,30,40,1,23,9,2,0,40
170480,3,17,21,25,1,14,10,0,0,25
174033,4,11,49,65,1,45,11,3,0,65
109232,0,86,20,23,1,7,2,8,3,23
11631,2,21,16,18,0,13,3,2,0,18
165456,0,98,13,15,1,11,1,2,0,15
175046,1,3,27,34,1,17,3,3,1,34
47330,0,67,15,22,1,1,9,7,4,22
86352,0,84,7,8,0,1,5,1,0,8
155827,4,6,18,27,0,6,14,4,3,27
163253,0,86,29,41,0,32,4,4,0,41
193674,1,2,4,4,1,0,2,1,0,4
187011,1,14,12,13,0,12,1,0,0,13
